date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
10/1/2020,2020,0,,NYJ,DEN,1399.876696,1441.008778,0.534294763,,,
10/4/2020,2020,0,,TB,LAC,1534.494524,1447.374314,0.705925032,,,
10/4/2020,2020,0,,CHI,IND,1561.028166,1513.543373,0.656450147,,,
10/4/2020,2020,0,,CIN,JAX,1365.708268,1410.359169,0.529251268,,,
10/4/2020,2020,0,,CAR,ARI,1411.649887,1465.429281,0.516142139,,,
10/4/2020,2020,0,,DAL,CLE,1514.356986,1457.425755,0.66860725,,,
10/4/2020,2020,0,,MIA,SEA,1435.437716,1605.437417,0.353331551,,,
10/4/2020,2020,0,,HOU,MIN,1480.075192,1507.382481,0.554032356,,,
10/4/2020,2020,0,,WSH,BAL,1366.80074,1640.399765,0.231334263,,,
10/4/2020,2020,0,,TEN,PIT,1620.489423,1556.665617,0.677338954,,,
10/4/2020,2020,0,,DET,NO,1404.20246,1566.465965,0.363572045,,,
10/4/2020,2020,0,,LAR,NYG,1575.113707,1348.285082,0.842891369,,,
10/4/2020,2020,0,,KC,NE,1717.00027,1591.218959,0.749927471,,,
10/4/2020,2020,0,,OAK,BUF,1472.589693,1551.165405,0.480472916,,,
10/4/2020,2020,0,,SF,PHI,1615.670408,1460.006767,0.780784176,,,
10/5/2020,2020,0,,GB,ATL,1641.976946,1481.164708,0.785814741,,,
